estate,total_pop,working_pop,median_income,ratio_age_65plus,ratio_age_0_14,n_roads,tot_length_km,bl_acc,typh_acc,dev_acc,n_worse_10,n_better_10,d_fire_m,t_fire_bl,t_fire_typh,d_t_fire,d_hosp_m,t_hosp_bl,t_hosp_typh,d_t_hosp,d_pol_m,lat,lon
宝林邨,13856.0,6935.0,20810.0,0.2538972286374134,0.06719110854503464,115.0,119.27766868544946,0.967045818528008,0.9656692385160497,-0.0013765800119585466,4.0,12.0,281.41336806409305,0.3492037659507559,0.34970156261356256,0.0004977966628066377,1219.5903437129002,1.5133806324535528,1.5155379855575222,0.0021573531039693616,559.4973626495514,22.325535,114.2549777
宝田邨,10749.0,4611.0,9630.0,0.2147176481533166,0.0799144106428505,62.0,68.11758901139164,0.9763271160025448,0.9810715542388174,0.004744438236272376,4.0,8.0,1341.932960770334,1.649364773886095,1.6413884858518777,-0.00797628803421735,693.9906465746413,0.8529813033354273,0.8488563064451545,-0.004124996890272792,403.0085861557455,22.4100495,113.9666009
宝盈花园,9255.0,4864.0,32000.0,0.17871420853592654,0.11550513236088601,120.0,113.83147360027631,0.9596755443513375,0.9659847218265203,0.006309177475182595,0.0,10.0,2222.6586575139854,2.7792626421668234,2.761110324781906,-0.018152317384917183,1066.0629997299632,1.3330292797454184,1.3243228083949954,-0.008706471350423017,1882.5875264730175,22.3062104,114.2622697
宝石湖邨,3141.0,1217.0,18160.0,0.08627825533269659,0.22285896211397643,73.0,76.24123131558102,0.9501958478339807,0.9604586293463143,0.010262781512333605,1.0,7.0,699.4580263534417,0.8833438217368238,0.8739050345098042,-0.00943878722701963,619.8367675767134,0.7827903297910584,0.7744259860503179,-0.008364343740740576,1686.024385164664,22.5032341,114.1247164
宝翠园,7265.0,4068.0,112790.0,0.08024776324845148,0.19463179628355126,135.0,87.01240887584694,0.9212207072385236,0.9481500391566757,0.026929331918152243,2.0,48.0,566.6628508496603,0.7381460443480101,0.7171812402438003,-0.020964804104209867,292.53169832752144,0.3810574764925845,0.37023469229116274,-0.010822784201421742,754.9631444482878,22.2850037,114.1334361
宝达邨,22319.0,10506.0,24070.0,0.20901474080379945,0.09131233478202429,236.0,175.27136679462058,0.9367097432406285,0.9466374503557746,0.009927707115145894,8.0,40.0,703.6402683615144,0.9014193864501205,0.8919658964648804,-0.009453489985240093,1252.2159248634184,1.604188619451659,1.587364950828174,-0.016823668623485055,1072.943404880156,22.3173713,114.2380357
宝雅苑,6716.0,3232.0,28330.0,0.21396664681357952,0.08740321620011912,91.0,84.06106337703675,0.9642798947135911,0.9651073733232763,0.0008274786096853755,2.0,15.0,547.3562051011173,0.6811584994379984,0.6805744772828787,-0.0005840221551197677,1781.244018602443,2.216672601016748,2.2147720361545185,-0.001900564862229448,1430.3607018717653,22.4512091,114.1592906
家维邨,6634.0,3086.0,22040.0,0.2987639433222792,0.07778112752487187,352.0,192.7934805927483,0.8935514611611621,0.9167819902969265,0.0232305291357644,2.0,80.0,118.43310209342593,0.15905040581258498,0.15502019456782906,-0.004030211244755916,1261.0340761228808,1.6935128608944514,1.6506005870134404,-0.04291227388101104,302.8727489831969,22.3080765,114.186662
富东邨,5254.0,2685.0,25850.0,0.17910163684811573,0.11762466692044157,62.0,103.74429868096249,0.9964888779162477,0.9973334142952972,0.0008445363790493754,1.0,5.0,188.66008430023572,0.2271897922570798,0.226997409206678,-0.00019238305040181203,589.0933079320216,0.709402769247807,0.7088020509349131,-0.0006007183128938776,256.9153816451032,22.2869506,113.94185
富亨邨,15393.0,7859.0,23810.0,0.23185863704281168,0.058533099460793866,95.0,90.10909043135548,0.969271968659319,0.9712166453443442,0.001944676685025308,2.0,15.0,1065.491231763358,1.3191235478361698,1.3164822537228105,-0.002641294113359338,356.0059382162839,0.44075052170387896,0.43986800257946024,-0.0008825191244187236,732.3946767545917,22.4586336,114.1713224
富健花园,9153.0,4758.0,31990.0,0.1976401179941003,0.08357915437561456,64.0,69.92262711140233,0.9744699815788795,0.9871357632718366,0.01266578169295702,2.0,11.0,438.99717477118054,0.5405980888932848,0.5336617609510597,-0.006936327942225096,2878.6020830432476,3.5448218672216574,3.4993388226586304,-0.045483044563026986,826.6287356355131,22.3831967,113.9655421
富善邨,13198.0,6171.0,20140.0,0.3019396878314896,0.06341869980300045,94.0,86.94486243050834,0.9703675723298766,0.9733139996845231,0.0029464273546467475,2.0,15.0,1200.6594296324654,1.4847892248703063,1.480294453820614,-0.004494771049692314,489.1527772573867,0.6049082321449618,0.6030770469746873,-0.0018311851702744741,348.38887867151715,22.4541017,114.1758788
富宁花园,6988.0,3657.0,32640.0,0.2475672581568403,0.07455638236977676,81.0,86.60257235334052,0.9775935379791826,0.975246007455226,-0.002347530523956535,2.0,7.0,1756.4484246229952,2.1560475061082878,2.1612373631217983,0.0051898570135104904,242.69572910611717,0.2979099836618829,0.2986270876281555,0.0007171039662725587,926.4904067574613,22.3193375,114.2677644
富安花园,10029.0,5154.0,28640.0,0.24668461461760893,0.05823112972380098,90.0,81.94505087185867,0.9689958847992807,0.9703370579855501,0.0013411731862694523,4.0,7.0,1926.1062055479772,2.3852809727219273,2.38198410298372,-0.0032968697382074197,1323.522944657994,1.63904466314486,1.6367792207037855,-0.0022654424410746277,1345.7038052464175,22.4037619,114.2247267
富宝花园,11422.0,5562.0,31590.0,0.2451409560497286,0.07573104535107687,52.0,65.61975143477224,0.9957483781989444,0.9926871853122261,-0.003061192886718064,2.0,2.0,759.5745013579561,0.9153812565361139,0.9182040577494308,0.0028228012133169056,2987.0892095764757,3.599812091057816,3.610912989034254,0.011100897976437984,550.1840457230925,22.4243123,114.2380098
富山邨,5572.0,2468.0,16750.0,0.2331299353912419,0.10032304379038047,209.0,130.0442968179269,0.926058851047314,0.9352177103486786,0.00915885930136464,9.0,34.0,876.9569386592772,1.136373055773932,1.125244223613755,-0.011128832160177016,1310.638773564602,1.698344037745358,1.6817116601557356,-0.016632377589622438,1309.6714944492683,22.3426039,114.2090931
富康花园,12038.0,6907.0,38070.0,0.13332779531483635,0.11289250706097359,123.0,114.45243365564689,0.9586617635324886,0.9652118893478194,0.006550125815330936,0.0,10.0,2097.1185325751367,2.625057486195317,2.607243307778313,-0.017814178417003834,733.2438971595833,0.9178343291269495,0.911605717150906,-0.006228611976043519,1428.9722973629462,22.3103163,114.2619988
富强苑,3557.0,1819.0,21970.0,0.2783244307000281,0.05707056508293506,321.0,156.31056365549367,0.892714820226082,0.9118500804737163,0.019135260247634237,4.0,62.0,653.7756367855453,0.8788145400610357,0.8603725337558581,-0.01844200630517756,484.80296407915614,0.6516790622425809,0.6380035154383654,-0.013675546804215455,1226.779299851794,22.3401896,114.1846634
